network,obj,trial,model,model_paras,time_train,time_total,MAE_train,RMSE_train,R_train,R2_train,MAPE_train,NNSE_train,KGE_train,PCD_train,KLD_train,VAF_train,A30_train,A20_train,MAE_test,RMSE_test,R_test,R2_test,MAPE_test,NNSE_test,KGE_test,PCD_test,KLD_test,VAF_test,A30_test,A20_test
0,MSE,0,FBIO-MLP,1000-50,421.206,421.209,0.397,0.576,0.938,0.88,0.056,0.893,0.911,0.781,6.634,88.041,0.979,0.953,0.767,1.136,0.774,0.544,0.124,0.687,0.677,0.732,-35.164,59.761,0.904,0.843
0,MSE,0,SMA-MLP,1000-50-0.03,108.063,108.067,0.542,0.733,0.898,0.806,0.076,0.838,0.856,0.786,5.037,80.631,0.974,0.927,0.814,1.229,0.736,0.466,0.132,0.652,0.638,0.744,-40.827,53.736,0.892,0.807
0,MSE,0,CGO-MLP,1000-50,406.429,406.431,0.502,0.687,0.911,0.83,0.071,0.854,0.871,0.76,8.468,82.96,0.969,0.943,0.685,1.024,0.811,0.63,0.11,0.73,0.706,0.793,-24.915,65.829,0.904,0.843
0,MSE,0,AEO-MLP,1000-50,207.826,207.829,0.538,0.731,0.898,0.807,0.076,0.838,0.853,0.682,10.497,80.718,0.974,0.927,0.751,1.101,0.782,0.572,0.119,0.7,0.664,0.695,-29.335,61.075,0.928,0.831
0,MSE,0,IAEO-MLP,1000-50,209.103,209.107,0.606,0.802,0.876,0.768,0.086,0.812,0.834,0.708,14.32,76.8,0.974,0.927,0.765,1.095,0.774,0.576,0.118,0.702,0.674,0.732,-19.739,59.843,0.916,0.783
0,MSE,0,EAEO-MLP,1000-50,209.749,209.752,0.57,0.763,0.889,0.79,0.08,0.826,0.853,0.719,0.731,79.031,0.964,0.912,0.881,1.28,0.721,0.421,0.141,0.633,0.577,0.683,-49.8,51.981,0.904,0.807
0,MSE,0,MAEO-MLP,1000-50,210.047,210.05,0.56,0.758,0.892,0.792,0.081,0.828,0.805,0.698,13.231,79.241,0.974,0.927,0.785,1.06,0.783,0.603,0.12,0.716,0.664,0.72,-10.116,61.225,0.904,0.831
0,MSE,0,AAEO-MLP,1000-50,160.004,160.007,0.46,0.646,0.922,0.849,0.064,0.869,0.889,0.76,8.969,84.935,0.979,0.948,0.708,1.074,0.793,0.592,0.114,0.71,0.702,0.768,-27.616,62.74,0.916,0.843
0,MSE,1,GA-MLP,1000-50-0.85-0.05,108.779,108.782,0.505,0.702,0.907,0.822,0.072,0.849,0.873,0.76,5.306,82.209,0.969,0.922,0.777,1.142,0.778,0.539,0.124,0.685,0.656,0.756,-40.637,60.505,0.892,0.819
0,MSE,1,DE-MLP,1000-50-0.85-0.8,105.684,105.687,0.566,0.776,0.888,0.783,0.08,0.822,0.781,0.641,12.391,78.283,0.974,0.938,0.832,1.237,0.744,0.46,0.137,0.649,0.538,0.695,-46.653,54.688,0.916,0.807
0,MSE,1,PSO-MLP,1000-50-1.2-1.2-0.4-0.9,106.808,106.811,0.606,0.835,0.865,0.748,0.086,0.799,0.804,0.641,17.136,74.827,0.959,0.902,0.831,1.233,0.724,0.463,0.134,0.651,0.615,0.683,-35.873,52.19,0.88,0.819
0,MSE,1,HHO-MLP,1000-50,193.8,193.804,0.546,0.738,0.897,0.804,0.076,0.836,0.869,0.688,13.447,80.354,0.969,0.922,0.763,1.136,0.767,0.544,0.123,0.687,0.678,0.732,-30.388,58.626,0.916,0.807
0,MSE,1,SSA-MLP,1000-50-0.8-0.2-0.1,198.176,198.179,0.544,0.756,0.891,0.794,0.077,0.829,0.847,0.74,12.481,79.386,0.979,0.922,0.77,1.216,0.719,0.477,0.123,0.657,0.619,0.695,-25.977,51.37,0.916,0.783
0,MSE,1,HGS-MLP,1000-50-0.03-1000,106.311,106.314,0.615,0.832,0.866,0.75,0.087,0.8,0.804,0.677,13.301,74.988,0.959,0.938,0.73,1.064,0.798,0.6,0.116,0.714,0.655,0.744,-27.919,63.531,0.904,0.807
0,MSE,1,MVO-MLP,1000-50-0.2-1.0,106.688,106.691,0.49,0.669,0.916,0.838,0.068,0.861,0.884,0.729,9.036,83.839,0.974,0.953,0.741,1.092,0.795,0.578,0.12,0.703,0.68,0.805,-36.352,63.215,0.892,0.831
