network,obj,trial,model,model_paras,time_train,time_total,MAE_train,RMSE_train,R_train,R2_train,MAPE_train,NNSE_train,KGE_train,PCD_train,KLD_train,VAF_train,A30_train,A20_train,MAE_test,RMSE_test,R_test,R2_test,MAPE_test,NNSE_test,KGE_test,PCD_test,KLD_test,VAF_test,A30_test,A20_test
0,MSE,0,GA-MLP,1000-50-0.85-0.05,98.953,98.957,0.643,0.96,0.875,0.765,0.187,0.81,0.813,0.789,13.081,76.607,0.847,0.75,0.976,1.333,0.79,0.606,0.351,0.718,0.658,0.667,0.071,62.488,0.658,0.553
0,MSE,0,DE-MLP,1000-50-0.85-0.8,97.125,97.128,0.776,1.077,0.847,0.705,0.232,0.772,0.709,0.743,50.032,70.605,0.83,0.642,1.032,1.477,0.732,0.517,0.391,0.674,0.604,0.72,-2.958,53.464,0.605,0.592
0,MSE,0,PSO-MLP,1000-50-1.2-1.2-0.4-0.9,98.004,98.007,1.01,1.364,0.731,0.526,0.285,0.678,0.68,0.657,67.248,52.629,0.699,0.597,1.534,1.94,0.583,0.167,0.498,0.546,0.531,0.573,-14.685,22.351,0.605,0.329
0,MSE,0,HHO-MLP,1000-50,177.837,177.839,0.811,1.09,0.836,0.697,0.231,0.768,0.783,0.651,28.117,69.761,0.79,0.636,1.231,1.562,0.756,0.46,0.459,0.649,0.578,0.6,-46.688,56.698,0.658,0.382
0,MSE,0,SSA-MLP,1000-50-0.8-0.2-0.1,181.253,181.256,0.687,1,0.864,0.745,0.204,0.797,0.79,0.806,31.044,74.525,0.835,0.688,0.981,1.397,0.779,0.568,0.372,0.698,0.594,0.72,-21.524,60.589,0.684,0.566
0,MSE,0,HGS-MLP,1000-50-0.03-1000,97.618,97.621,0.745,1.073,0.841,0.707,0.224,0.773,0.768,0.703,34.972,70.692,0.795,0.648,1.037,1.429,0.762,0.548,0.387,0.689,0.591,0.6,-16.733,58.093,0.658,0.566
0,MSE,0,MVO-MLP,1000-50-0.2-1.0,99.234,99.237,0.644,0.955,0.877,0.768,0.188,0.812,0.809,0.829,24.58,76.789,0.858,0.722,0.936,1.324,0.806,0.612,0.355,0.721,0.615,0.747,-21.207,64.682,0.684,0.605
0,MSE,0,EFO-MLP,1000-50-0.3-0.85-0.1-0.45,97.737,97.74,0.532,0.808,0.913,0.834,0.152,0.857,0.865,0.811,15.695,83.365,0.881,0.795,0.84,1.193,0.842,0.685,0.286,0.761,0.74,0.773,-20.674,70.79,0.763,0.671
0,MSE,0,EO-MLP,1000-50,100.762,100.765,0.633,0.921,0.885,0.784,0.18,0.822,0.838,0.783,27.047,78.382,0.864,0.75,0.873,1.263,0.823,0.647,0.339,0.739,0.641,0.707,-17.556,67.373,0.737,0.632
0,MSE,0,CHIO-MLP,1000-50-0.06-150,111.995,111.998,0.78,1.042,0.853,0.723,0.222,0.783,0.836,0.714,40.277,72.341,0.812,0.67,1.181,1.533,0.777,0.48,0.46,0.658,0.612,0.693,-48.371,59.576,0.671,0.487
0,MSE,0,FBIO-MLP,1000-50,388.186,388.19,0.572,0.831,0.908,0.824,0.171,0.85,0.869,0.8,22.385,82.392,0.858,0.767,0.907,1.261,0.829,0.648,0.366,0.74,0.757,0.707,-20.487,67.715,0.75,0.579
0,MSE,0,SMA-MLP,1000-50-0.03,100.587,100.591,0.79,1.135,0.821,0.672,0.235,0.753,0.755,0.766,61.627,67.373,0.795,0.665,1.01,1.433,0.761,0.545,0.382,0.687,0.618,0.68,-17.38,57.797,0.75,0.539
0,MSE,0,CGO-MLP,1000-50,392.668,392.672,0.66,0.977,0.87,0.757,0.188,0.804,0.819,0.771,34.47,75.672,0.852,0.739,0.95,1.381,0.768,0.578,0.349,0.703,0.642,0.68,-0.205,58.932,0.697,0.605
0,MSE,0,AEO-MLP,1000-50,192.566,192.57,0.698,0.993,0.865,0.749,0.208,0.799,0.817,0.771,31.637,74.857,0.824,0.676,1.017,1.415,0.76,0.557,0.391,0.693,0.632,0.693,-6.749,57.749,0.671,0.566
0,MSE,0,IAEO-MLP,1000-50,194.683,194.687,0.766,1.078,0.84,0.704,0.234,0.771,0.737,0.743,29.137,70.393,0.784,0.676,1.116,1.505,0.76,0.499,0.446,0.666,0.527,0.68,-35.709,57.47,0.645,0.5
0,MSE,0,EAEO-MLP,1000-50,194.847,194.85,0.738,1.061,0.845,0.713,0.211,0.777,0.77,0.72,30.095,71.336,0.812,0.682,1.078,1.481,0.74,0.514,0.384,0.673,0.563,0.64,-16.636,54.746,0.658,0.539
0,MSE,0,MAEO-MLP,1000-50,193.807,193.81,0.7,1.026,0.856,0.732,0.202,0.788,0.82,0.789,49.573,73.212,0.795,0.67,0.974,1.388,0.774,0.573,0.362,0.701,0.621,0.707,-13.558,59.866,0.737,0.566
0,MSE,0,AAEO-MLP,1000-50,184.771,184.774,0.616,0.885,0.895,0.801,0.174,0.834,0.847,0.76,23.531,80.056,0.864,0.773,0.903,1.301,0.802,0.626,0.37,0.728,0.682,0.667,-10.815,64.306,0.711,0.645
0,MSE,1,GA-MLP,1000-50-0.85-0.05,99.74,99.744,0.678,0.968,0.873,0.762,0.198,0.807,0.807,0.806,32.829,76.161,0.852,0.693,0.969,1.338,0.811,0.604,0.368,0.716,0.642,0.707,-31.954,65.797,0.711,0.566
0,MSE,1,DE-MLP,1000-50-0.85-0.8,97.469,97.472,0.737,1.033,0.858,0.728,0.238,0.786,0.728,0.749,25.064,72.861,0.801,0.665,1.017,1.332,0.84,0.607,0.427,0.718,0.555,0.707,-40.964,68.56,0.724,0.526
0,MSE,1,PSO-MLP,1000-50-1.2-1.2-0.4-0.9,98.954,98.958,0.75,1.054,0.847,0.717,0.21,0.779,0.784,0.743,38.837,71.702,0.818,0.676,1.084,1.459,0.739,0.529,0.363,0.68,0.617,0.573,-4.385,54.514,0.697,0.513
0,MSE,1,HHO-MLP,1000-50,178.877,178.88,0.733,1.038,0.852,0.726,0.22,0.785,0.78,0.714,33.221,72.571,0.807,0.676,1.037,1.483,0.736,0.513,0.384,0.673,0.608,0.653,-11.147,53.9,0.697,0.592
0,MSE,1,SSA-MLP,1000-50-0.8-0.2-0.1,182.096,182.099,0.838,1.15,0.814,0.663,0.26,0.748,0.726,0.697,32.019,66.297,0.767,0.631,1.317,1.645,0.679,0.401,0.51,0.625,0.552,0.533,-19.575,44.946,0.605,0.368
0,MSE,1,HGS-MLP,1000-50-0.03-1000,98.601,98.604,0.747,1.031,0.854,0.729,0.209,0.787,0.792,0.743,30.861,72.916,0.79,0.682,1.046,1.344,0.811,0.6,0.373,0.714,0.643,0.653,-33.353,65.696,0.658,0.513
0,MSE,1,MVO-MLP,1000-50-0.2-1.0,98.796,98.799,0.628,0.945,0.879,0.773,0.181,0.815,0.82,0.806,24.878,77.252,0.864,0.733,0.991,1.361,0.781,0.59,0.375,0.709,0.673,0.667,-2.219,60.855,0.658,0.566
0,MSE,1,EFO-MLP,1000-50-0.3-0.85-0.1-0.45,98,98.004,0.613,0.877,0.897,0.804,0.17,0.836,0.848,0.8,26.436,80.388,0.864,0.75,0.897,1.272,0.805,0.642,0.341,0.736,0.687,0.707,-1.348,64.796,0.697,0.605
0,MSE,1,EO-MLP,1000-50,101.172,101.174,0.625,0.936,0.881,0.777,0.182,0.817,0.831,0.806,27.284,77.66,0.864,0.744,0.918,1.314,0.806,0.618,0.354,0.724,0.642,0.733,-17.617,64.887,0.737,0.592
0,MSE,1,CHIO-MLP,1000-50-0.06-150,113.193,113.196,0.774,1.035,0.856,0.727,0.214,0.786,0.838,0.697,35.862,72.729,0.812,0.631,1.13,1.456,0.752,0.531,0.414,0.681,0.614,0.587,-14.729,56.381,0.605,0.421
0,MSE,1,FBIO-MLP,1000-50,388.933,388.937,0.573,0.842,0.905,0.819,0.165,0.847,0.862,0.794,22.487,81.932,0.858,0.79,0.862,1.207,0.834,0.678,0.305,0.756,0.707,0.693,-10.889,69.528,0.711,0.632
0,MSE,1,SMA-MLP,1000-50-0.03,99.82,99.824,0.671,0.996,0.865,0.747,0.195,0.798,0.829,0.811,34.065,74.716,0.852,0.71,0.912,1.307,0.798,0.622,0.334,0.726,0.682,0.747,-5.943,63.596,0.711,0.605
0,MSE,1,CGO-MLP,1000-50,393.002,393.006,0.662,0.981,0.869,0.755,0.196,0.803,0.806,0.783,28.073,75.499,0.841,0.727,0.946,1.344,0.792,0.6,0.357,0.715,0.639,0.733,-11.664,62.694,0.724,0.632
0,MSE,1,AEO-MLP,1000-50,193.942,193.946,0.72,1.023,0.856,0.733,0.211,0.789,0.791,0.731,31.982,73.334,0.835,0.693,1.14,1.529,0.728,0.483,0.444,0.659,0.576,0.573,-19.113,52.796,0.645,0.513
0,MSE,1,IAEO-MLP,1000-50,193.964,193.967,0.772,1.125,0.825,0.678,0.217,0.756,0.786,0.714,38.408,67.789,0.79,0.682,1.003,1.448,0.742,0.536,0.344,0.683,0.624,0.667,-2.891,54.945,0.75,0.592
0,MSE,1,EAEO-MLP,1000-50,193.967,193.97,0.728,1.024,0.856,0.733,0.214,0.789,0.786,0.771,24.86,73.325,0.847,0.665,1.052,1.466,0.765,0.525,0.397,0.678,0.6,0.707,-29.855,58.498,0.711,0.553
0,MSE,1,MAEO-MLP,1000-50,194.037,194.041,0.705,1.036,0.853,0.727,0.207,0.785,0.769,0.817,26.053,72.677,0.835,0.653,1.037,1.451,0.753,0.534,0.367,0.682,0.592,0.747,-17.307,56.65,0.697,0.526
