network,obj,trial,model,model_paras,time_train,time_total,MAE_train,RMSE_train,R_train,R2_train,MAPE_train,NNSE_train,KGE_train,PCD_train,KLD_train,VAF_train,A30_train,A20_train,MAE_test,RMSE_test,R_test,R2_test,MAPE_test,NNSE_test,KGE_test,PCD_test,KLD_test,VAF_test,A30_test,A20_test
0,MSE,1,AAEO-MLP,1000-50,173.549,173.552,0.596,0.86,0.901,0.812,0.17,0.841,0.856,0.789,23.506,81.154,0.869,0.778,0.879,1.25,0.817,0.654,0.33,0.743,0.687,0.68,-9.614,66.73,0.711,0.671
0,MSE,2,GA-MLP,1000-50-0.85-0.05,99.461,99.465,0.672,0.972,0.872,0.759,0.184,0.806,0.833,0.794,45.913,76.088,0.847,0.71,0.97,1.357,0.78,0.593,0.331,0.711,0.667,0.72,-1.056,60.777,0.684,0.579
0,MSE,2,DE-MLP,1000-50-0.85-0.8,97.694,97.698,0.745,1.065,0.849,0.711,0.212,0.776,0.789,0.749,-14.211,71.956,0.841,0.688,1.084,1.422,0.768,0.553,0.352,0.691,0.661,0.693,-17.082,58.394,0.684,0.461
0,MSE,2,PSO-MLP,1000-50-1.2-1.2-0.4-0.9,98.742,98.746,0.753,1.109,0.83,0.687,0.234,0.761,0.789,0.731,34.787,68.689,0.812,0.71,1.19,1.606,0.693,0.429,0.455,0.637,0.683,0.613,17.79,42.955,0.618,0.513
0,MSE,2,HHO-MLP,1000-50,180.195,180.199,0.757,1.094,0.837,0.695,0.229,0.766,0.711,0.737,33.305,69.531,0.818,0.676,1.035,1.47,0.743,0.522,0.401,0.676,0.533,0.72,-10.244,54.657,0.697,0.579
0,MSE,2,SSA-MLP,1000-50-0.8-0.2-0.1,183.031,183.035,0.658,0.948,0.878,0.771,0.189,0.814,0.827,0.777,26.998,77.088,0.841,0.727,0.987,1.375,0.781,0.581,0.383,0.705,0.643,0.667,-13.334,61.001,0.697,0.579
0,MSE,2,HGS-MLP,1000-50-0.03-1000,98.122,98.125,0.803,1.11,0.829,0.686,0.231,0.761,0.728,0.76,35.739,68.633,0.773,0.682,1.194,1.513,0.746,0.493,0.432,0.664,0.549,0.68,-29.656,55.611,0.632,0.434
0,MSE,2,MVO-MLP,1000-50-0.2-1.0,98.922,98.926,0.659,0.967,0.873,0.762,0.192,0.808,0.815,0.794,32.099,76.192,0.841,0.71,0.955,1.368,0.781,0.585,0.363,0.707,0.62,0.72,-11.763,60.921,0.684,0.632
0,MSE,2,EFO-MLP,1000-50-0.3-0.85-0.1-0.45,97.377,97.381,0.582,0.858,0.902,0.812,0.171,0.842,0.838,0.777,21.933,81.25,0.858,0.773,0.908,1.257,0.82,0.65,0.351,0.741,0.674,0.653,-12.096,67.25,0.684,0.632
0,MSE,2,EO-MLP,1000-50,100.765,100.769,0.636,0.941,0.88,0.774,0.187,0.816,0.829,0.783,28.012,77.441,0.852,0.733,0.914,1.31,0.796,0.62,0.357,0.725,0.658,0.707,-1.28,63.346,0.737,0.632
0,MSE,2,CHIO-MLP,1000-50-0.06-150,112.92,112.923,0.767,1.052,0.849,0.718,0.22,0.78,0.821,0.714,35.665,71.804,0.812,0.676,1.008,1.366,0.791,0.587,0.356,0.708,0.655,0.68,-22.818,62.527,0.671,0.539
0,MSE,2,FBIO-MLP,1000-50,388.805,388.809,0.607,0.891,0.893,0.798,0.181,0.832,0.84,0.789,23.839,79.755,0.841,0.75,1.006,1.391,0.768,0.572,0.389,0.7,0.679,0.707,-4.979,58.59,0.697,0.592
0,MSE,2,SMA-MLP,1000-50-0.03,101.046,101.048,0.709,1.023,0.857,0.733,0.209,0.789,0.802,0.749,40.11,73.36,0.83,0.699,1.028,1.448,0.75,0.536,0.413,0.683,0.616,0.693,-8.094,56.132,0.618,0.553
0,MSE,2,CGO-MLP,1000-50,393.054,393.057,0.731,1.02,0.858,0.735,0.206,0.79,0.819,0.771,37.128,73.48,0.824,0.682,1.021,1.384,0.785,0.576,0.358,0.702,0.644,0.693,-23.45,61.553,0.711,0.553
0,MSE,2,AEO-MLP,1000-50,192.864,192.868,0.678,0.99,0.866,0.75,0.197,0.8,0.818,0.794,37.718,75.025,0.807,0.699,0.948,1.341,0.793,0.602,0.372,0.715,0.64,0.747,-19.018,62.834,0.711,0.592
0,MSE,2,IAEO-MLP,1000-50,193.426,193.43,0.743,1.024,0.856,0.733,0.213,0.789,0.798,0.76,30.08,73.274,0.835,0.699,1.057,1.475,0.752,0.519,0.405,0.675,0.594,0.64,-23.166,56.426,0.711,0.592
0,MSE,2,EAEO-MLP,1000-50,193.782,193.786,0.808,1.125,0.824,0.678,0.24,0.756,0.736,0.674,29.491,67.805,0.767,0.67,1.063,1.483,0.736,0.513,0.386,0.673,0.56,0.653,-12.88,54.163,0.671,0.5
0,MSE,2,MAEO-MLP,1000-50,195.503,195.507,0.732,1.032,0.854,0.729,0.208,0.787,0.794,0.709,24.874,72.883,0.83,0.67,1.059,1.486,0.738,0.511,0.392,0.672,0.6,0.627,-14.237,54.262,0.671,0.592
0,MSE,2,AAEO-MLP,1000-50,156.974,156.976,0.584,0.834,0.907,0.823,0.168,0.849,0.857,0.811,19.434,82.268,0.875,0.778,0.852,1.225,0.831,0.668,0.323,0.751,0.718,0.707,-13.95,69.018,0.711,0.645
0,MSE,3,GA-MLP,1000-50-0.85-0.05,100.211,100.215,0.636,0.937,0.881,0.777,0.183,0.817,0.819,0.823,17.071,77.684,0.841,0.773,0.984,1.305,0.814,0.623,0.353,0.726,0.663,0.747,-24.523,66.331,0.671,0.526
0,MSE,3,DE-MLP,1000-50-0.85-0.8,97.902,97.906,0.708,1.014,0.866,0.738,0.199,0.792,0.855,0.76,96.066,74.722,0.807,0.722,0.977,1.371,0.791,0.584,0.356,0.706,0.747,0.747,-10.615,60.376,0.684,0.553
0,MSE,3,PSO-MLP,1000-50-1.2-1.2-0.4-0.9,99.144,99.148,1.202,1.587,0.608,0.359,0.336,0.609,0.496,0.566,119.699,36.69,0.625,0.46,1.413,1.915,0.488,0.189,0.477,0.552,0.414,0.48,44.495,18.878,0.592,0.434
0,MSE,3,HHO-MLP,1000-50,179.254,179.257,0.762,1.051,0.848,0.719,0.225,0.78,0.767,0.754,33.718,71.866,0.835,0.67,1.073,1.428,0.777,0.549,0.395,0.689,0.583,0.693,-29.275,60.294,0.658,0.487
0,MSE,3,SSA-MLP,1000-50-0.8-0.2-0.1,183.269,183.272,0.686,0.978,0.87,0.756,0.198,0.804,0.801,0.766,26.737,75.615,0.847,0.71,0.983,1.393,0.777,0.57,0.374,0.7,0.614,0.707,-17.827,60.358,0.697,0.605
0,MSE,3,HGS-MLP,1000-50-0.03-1000,98.957,98.961,0.817,1.096,0.833,0.694,0.255,0.766,0.762,0.709,34.496,69.398,0.795,0.67,1.171,1.506,0.77,0.498,0.469,0.666,0.62,0.653,-39.048,58.659,0.684,0.5
0,MSE,3,MVO-MLP,1000-50-0.2-1.0,99.053,99.057,0.637,0.934,0.882,0.778,0.181,0.818,0.827,0.789,25.707,77.767,0.858,0.75,0.93,1.323,0.798,0.613,0.369,0.721,0.65,0.707,-7.375,63.602,0.737,0.618
0,MSE,3,EFO-MLP,1000-50-0.3-0.85-0.1-0.45,98.733,98.736,0.605,0.876,0.897,0.805,0.172,0.837,0.847,0.766,24.841,80.463,0.869,0.767,0.9,1.241,0.824,0.659,0.347,0.746,0.702,0.667,-16.149,67.876,0.724,0.592
0,MSE,3,EO-MLP,1000-50,101.231,101.234,0.617,0.913,0.887,0.787,0.179,0.825,0.841,0.834,26.112,78.746,0.858,0.733,0.856,1.214,0.835,0.674,0.311,0.754,0.67,0.773,-15.173,69.463,0.737,0.645
0,MSE,3,CHIO-MLP,1000-50-0.06-150,113.297,113.301,0.822,1.148,0.817,0.664,0.252,0.749,0.703,0.686,40.745,66.442,0.778,0.636,1.027,1.428,0.781,0.549,0.406,0.689,0.523,0.72,-24.41,59.489,0.724,0.566
0,MSE,3,FBIO-MLP,1000-50,389.911,389.915,0.564,0.811,0.913,0.833,0.163,0.857,0.863,0.811,18.486,83.265,0.869,0.801,0.921,1.222,0.846,0.67,0.363,0.752,0.746,0.72,-25.24,71.07,0.711,0.566
0,MSE,3,SMA-MLP,1000-50-0.03,100.231,100.235,0.727,1.036,0.853,0.726,0.207,0.785,0.8,0.817,41.992,72.686,0.824,0.682,1.005,1.478,0.724,0.517,0.353,0.674,0.609,0.733,10.319,52.26,0.724,0.592
0,MSE,3,CGO-MLP,1000-50,392.869,392.872,0.788,1.112,0.828,0.685,0.231,0.76,0.746,0.726,35.394,68.487,0.801,0.648,1.092,1.544,0.724,0.472,0.413,0.655,0.558,0.707,-24.362,52.349,0.671,0.526
0,MSE,3,AEO-MLP,1000-50,192.627,192.63,0.683,1.046,0.849,0.721,0.196,0.782,0.785,0.737,28.351,72.122,0.847,0.71,1.005,1.381,0.77,0.578,0.342,0.703,0.638,0.627,-6.867,59.364,0.711,0.553
0,MSE,3,IAEO-MLP,1000-50,194.955,194.959,0.78,1.05,0.848,0.719,0.221,0.781,0.766,0.709,31.707,71.912,0.778,0.642,1.14,1.515,0.732,0.492,0.415,0.663,0.55,0.627,-20.44,53.529,0.632,0.474
0,MSE,3,EAEO-MLP,1000-50,194.848,194.852,0.78,1.074,0.841,0.706,0.221,0.773,0.76,0.726,41.086,70.618,0.812,0.665,1.173,1.505,0.741,0.498,0.444,0.666,0.577,0.613,-24.135,54.868,0.645,0.487
0,MSE,3,MAEO-MLP,1000-50,194.471,194.474,0.678,1.01,0.86,0.74,0.192,0.794,0.809,0.766,33.57,74.035,0.847,0.71,0.966,1.339,0.782,0.603,0.335,0.716,0.663,0.68,0.779,61.142,0.684,0.553
0,MSE,3,AAEO-MLP,1000-50,157.114,157.117,0.59,0.863,0.9,0.81,0.175,0.84,0.856,0.794,25.368,81.007,0.852,0.801,0.887,1.25,0.828,0.654,0.352,0.743,0.738,0.693,-22.946,68.158,0.724,0.618
0,MSE,4,GA-MLP,1000-50-0.85-0.05,100.196,100.2,0.664,0.953,0.878,0.769,0.194,0.812,0.828,0.76,56.805,77.138,0.807,0.722,1.008,1.341,0.79,0.602,0.371,0.715,0.687,0.64,-14.713,62.263,0.645,0.526
0,MSE,4,DE-MLP,1000-50-0.85-0.8,98.587,98.591,0.748,1.055,0.847,0.716,0.228,0.779,0.777,0.754,22.77,71.69,0.801,0.705,1.142,1.445,0.777,0.538,0.44,0.684,0.615,0.72,-31.482,60.322,0.645,0.447
0,MSE,4,PSO-MLP,1000-50-1.2-1.2-0.4-0.9,98.892,98.895,0.876,1.175,0.806,0.648,0.269,0.74,0.757,0.72,52.263,64.823,0.756,0.653,1.273,1.693,0.713,0.365,0.538,0.612,0.489,0.6,-52.062,50.734,0.671,0.5
0,MSE,4,HHO-MLP,1000-50,179.776,179.78,0.871,1.165,0.809,0.654,0.259,0.743,0.729,0.663,28.813,65.439,0.75,0.625,1.205,1.586,0.705,0.443,0.466,0.642,0.512,0.6,-22.311,49.649,0.658,0.474
0,MSE,4,SSA-MLP,1000-50-0.8-0.2-0.1,182.508,182.511,0.694,1.009,0.861,0.741,0.204,0.794,0.8,0.806,27.52,74.073,0.812,0.716,1.073,1.458,0.758,0.53,0.374,0.68,0.701,0.693,-3.855,55.219,0.671,0.539
0,MSE,4,HGS-MLP,1000-50-0.03-1000,98.554,98.557,0.712,1.036,0.853,0.727,0.203,0.785,0.788,0.783,32.997,72.681,0.841,0.716,0.965,1.386,0.763,0.575,0.346,0.702,0.628,0.76,3.766,58.196,0.658,0.553
0,MSE,4,MVO-MLP,1000-50-0.2-1.0,98.687,98.69,0.673,0.952,0.877,0.769,0.195,0.813,0.82,0.783,29.96,76.932,0.847,0.722,0.999,1.365,0.796,0.588,0.386,0.708,0.63,0.667,-21.635,63.405,0.697,0.566
0,MSE,4,EFO-MLP,1000-50-0.3-0.85-0.1-0.45,97.558,97.561,0.6,0.884,0.895,0.801,0.175,0.834,0.832,0.794,23.292,80.109,0.864,0.79,0.95,1.33,0.796,0.608,0.366,0.719,0.692,0.733,-12.314,63.184,0.711,0.592
0,MSE,4,EO-MLP,1000-50,100.829,100.832,0.616,0.938,0.881,0.776,0.179,0.817,0.831,0.8,27.645,77.591,0.847,0.756,0.92,1.294,0.803,0.629,0.334,0.73,0.68,0.693,-3.623,64.43,0.697,0.579
0,MSE,4,CHIO-MLP,1000-50-0.06-150,112.672,112.676,0.765,1.099,0.832,0.692,0.233,0.765,0.777,0.68,34.33,69.228,0.778,0.676,1.184,1.548,0.715,0.469,0.407,0.653,0.699,0.64,14.027,47.02,0.618,0.434
0,MSE,4,FBIO-MLP,1000-50,387.943,387.946,0.586,0.867,0.899,0.808,0.168,0.839,0.856,0.8,25.164,80.845,0.852,0.756,1.007,1.384,0.773,0.576,0.378,0.702,0.702,0.667,9.83,58.872,0.645,0.553
0,MSE,4,SMA-MLP,1000-50-0.03,100.979,100.983,0.687,1.013,0.859,0.739,0.201,0.793,0.799,0.806,34.276,73.863,0.812,0.71,0.967,1.347,0.797,0.598,0.354,0.713,0.615,0.747,-21.283,63.276,0.671,0.592
0,MSE,4,CGO-MLP,1000-50,393.071,393.075,0.711,1.046,0.849,0.721,0.204,0.782,0.79,0.76,38.806,72.126,0.818,0.676,0.972,1.454,0.743,0.532,0.354,0.681,0.604,0.72,-7.537,55.136,0.671,0.592
0,MSE,4,AEO-MLP,1000-50,192.59,192.593,0.738,1.046,0.849,0.721,0.205,0.782,0.786,0.726,31.35,72.106,0.835,0.716,1.026,1.444,0.749,0.538,0.359,0.684,0.608,0.667,-10.739,56.13,0.697,0.566
0,MSE,4,IAEO-MLP,1000-50,193.889,193.892,0.767,1.07,0.842,0.709,0.217,0.774,0.793,0.731,50.223,70.947,0.778,0.642,1.063,1.455,0.767,0.531,0.396,0.681,0.568,0.667,-29.428,58.716,0.684,0.513
0,MSE,4,EAEO-MLP,1000-50,193.674,193.678,0.669,0.994,0.866,0.748,0.199,0.799,0.802,0.737,40.58,74.888,0.841,0.705,0.983,1.409,0.758,0.561,0.37,0.695,0.651,0.667,-0.073,57.29,0.684,0.632
0,MSE,4,MAEO-MLP,1000-50,193.531,193.535,0.689,0.997,0.865,0.747,0.201,0.798,0.786,0.8,24.923,74.668,0.841,0.693,1.009,1.382,0.783,0.577,0.37,0.703,0.588,0.72,-19.237,61.042,0.711,0.579
0,MSE,4,AAEO-MLP,1000-50,156.936,156.939,0.58,0.834,0.907,0.823,0.168,0.85,0.86,0.789,21.086,82.298,0.858,0.79,0.899,1.232,0.839,0.664,0.353,0.749,0.734,0.747,-21.786,70.066,0.697,0.579
0,MSE,5,GA-MLP,1000-50-0.85-0.05,100.551,100.555,0.67,0.955,0.878,0.768,0.198,0.811,0.799,0.811,-1.282,77.08,0.852,0.727,1.025,1.374,0.795,0.582,0.357,0.705,0.68,0.72,-29.404,62.651,0.671,0.526
0,MSE,5,DE-MLP,1000-50-0.85-0.8,98.043,98.046,0.73,1.025,0.857,0.733,0.232,0.789,0.771,0.771,30.577,73.258,0.812,0.676,1.039,1.426,0.778,0.55,0.42,0.69,0.585,0.72,-28.543,60.453,0.711,0.553
0,MSE,5,PSO-MLP,1000-50-1.2-1.2-0.4-0.9,98.638,98.642,0.944,1.293,0.764,0.574,0.3,0.701,0.596,0.646,55.678,57.423,0.71,0.551,1.248,1.612,0.71,0.425,0.511,0.635,0.409,0.627,-21.961,48.184,0.579,0.474
0,MSE,5,HHO-MLP,1000-50,179.468,179.472,0.84,1.119,0.826,0.681,0.24,0.758,0.741,0.674,52.004,68.195,0.778,0.619,1.134,1.48,0.731,0.515,0.418,0.673,0.588,0.68,-2.533,53.407,0.605,0.474
0,MSE,5,SSA-MLP,1000-50-0.8-0.2-0.1,182.869,182.872,0.643,0.962,0.874,0.764,0.186,0.809,0.829,0.817,30.52,76.413,0.864,0.727,0.915,1.343,0.784,0.601,0.342,0.715,0.646,0.76,-4.825,61.452,0.697,0.605
0,MSE,5,HGS-MLP,1000-50-0.03-1000,98.751,98.754,0.767,1.061,0.845,0.713,0.228,0.777,0.777,0.731,35.426,71.332,0.795,0.636,1.069,1.465,0.774,0.525,0.421,0.678,0.551,0.693,-36.258,59.722,0.697,0.539
0,MSE,5,MVO-MLP,1000-50-0.2-1.0,99.449,99.453,0.648,0.96,0.875,0.765,0.188,0.81,0.816,0.8,27.617,76.512,0.852,0.767,0.992,1.373,0.78,0.583,0.368,0.706,0.631,0.693,-10.725,60.802,0.671,0.579
0,MSE,5,EFO-MLP,1000-50-0.3-0.85-0.1-0.45,98.515,98.519,0.576,0.827,0.909,0.826,0.166,0.852,0.865,0.806,19.336,82.579,0.858,0.756,0.898,1.201,0.835,0.68,0.321,0.758,0.743,0.707,-7.146,69.668,0.645,0.566
0,MSE,5,EO-MLP,1000-50,100.278,100.282,0.644,0.933,0.882,0.778,0.191,0.818,0.829,0.794,28.001,77.805,0.847,0.733,0.882,1.268,0.826,0.644,0.354,0.737,0.624,0.733,-19.86,67.485,0.724,0.592
0,MSE,5,CHIO-MLP,1000-50-0.06-150,113.399,113.403,0.845,1.123,0.839,0.679,0.238,0.757,0.839,0.743,39.047,67.868,0.756,0.659,1.138,1.492,0.737,0.507,0.39,0.67,0.667,0.667,-3.297,52.595,0.605,0.487
0,MSE,5,FBIO-MLP,1000-50,389.661,389.665,0.595,0.864,0.9,0.81,0.165,0.84,0.855,0.789,25.216,80.986,0.858,0.756,0.858,1.228,0.826,0.666,0.334,0.75,0.69,0.68,-13.455,68.207,0.75,0.658
0,MSE,5,SMA-MLP,1000-50-0.03,100.738,100.742,0.702,1.036,0.852,0.726,0.196,0.785,0.801,0.846,30.25,72.631,0.824,0.699,1.006,1.387,0.78,0.574,0.333,0.701,0.627,0.773,-21,60.783,0.684,0.566
0,MSE,5,CGO-MLP,1000-50,395.01,395.013,0.682,0.986,0.868,0.753,0.201,0.802,0.796,0.8,27.197,75.253,0.869,0.693,0.992,1.396,0.78,0.569,0.379,0.699,0.601,0.693,-22.321,60.833,0.684,0.566
0,MSE,5,AEO-MLP,1000-50,193.153,193.156,0.824,1.139,0.82,0.669,0.246,0.751,0.734,0.691,14.739,67.198,0.767,0.648,1.23,1.568,0.723,0.456,0.458,0.648,0.552,0.613,-28.584,52.064,0.645,0.421
